id,visitors
air_00a91d42b08b08d9_2017-04-23,1.1889854821031356
air_00a91d42b08b08d9_2017-04-24,2.8750696112530596
air_00a91d42b08b08d9_2017-04-25,3.4025077477614705
air_00a91d42b08b08d9_2017-04-26,3.132875304833915
air_00a91d42b08b08d9_2017-04-27,3.3621880954909678
air_00a91d42b08b08d9_2017-04-28,3.4626767155282794
air_00a91d42b08b08d9_2017-04-29,2.365649413611414
air_00a91d42b08b08d9_2017-04-30,1.1889854821031356
air_00a91d42b08b08d9_2017-05-01,2.873016520052046
air_00a91d42b08b08d9_2017-05-02,3.380413119562378
air_00a91d42b08b08d9_2017-05-03,2.1378628305972587
air_00a91d42b08b08d9_2017-05-04,2.556963030838517
air_00a91d42b08b08d9_2017-05-05,2.8739787206749345
air_00a91d42b08b08d9_2017-05-06,2.9288173199440584
air_00a91d42b08b08d9_2017-05-07,1.281086607461549
air_00a91d42b08b08d9_2017-05-08,2.873016520052046
air_00a91d42b08b08d9_2017-05-09,3.380413119562378
air_00a91d42b08b08d9_2017-05-10,3.1171507506799485
air_00a91d42b08b08d9_2017-05-11,3.3468256886658123
air_00a91d42b08b08d9_2017-05-12,3.4507828597474393
air_00a91d42b08b08d9_2017-05-13,2.9288173199440584
air_00a91d42b08b08d9_2017-05-14,1.281086607461549
air_00a91d42b08b08d9_2017-05-15,2.873016520052046
air_00a91d42b08b08d9_2017-05-16,3.380413119562378
air_00a91d42b08b08d9_2017-05-17,3.1171507506799485
air_00a91d42b08b08d9_2017-05-18,3.3468256886658123
air_00a91d42b08b08d9_2017-05-19,3.4507828597474393
air_00a91d42b08b08d9_2017-05-20,2.9288173199440584
air_00a91d42b08b08d9_2017-05-21,1.281086607461549
air_00a91d42b08b08d9_2017-05-22,2.873016520052046
air_00a91d42b08b08d9_2017-05-23,3.380413119562378
air_00a91d42b08b08d9_2017-05-24,3.1171507506799485
air_00a91d42b08b08d9_2017-05-25,3.3468256886658123
air_00a91d42b08b08d9_2017-05-26,3.4507828597474393
air_00a91d42b08b08d9_2017-05-27,2.9288173199440584
